State,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,pH_Alkaline,pH_Acidic,pH_Neutral
ANDAMAN & NICOBAR,0,8.1,91.9,0,5.17,94.83,0,13.45,86.55,0,16.03,83.97
ANDHRA PRADESH,1.07,19.22,79.71,45.76,36.71,17.53,66.4,26.89,6.71,8.51,0.42,91.07
ARUNACHAL PRADESH,32.59,64.98,2.43,11.08,83.68,5.24,3.58,84.83,11.59,0.34,44.67,54.99
ASSAM,36.77,62.63,0.6,59.09,25.67,15.24,6.43,34.16,59.41,0,44.05,55.95
BIHAR,0.84,37.68,61.48,77.77,19.25,2.97,18.87,74.12,7.01,1.02,2.35,96.63
CHHATTISGARH,1.18,21.01,77.82,6.83,70.32,22.85,47.16,46.54,6.3,0.07,13.25,86.68
GOA,14.05,47.18,38.76,22.9,28.71,48.38,47.72,35.04,17.24,0,44.16,55.84
GUJARAT,0.06,17.86,82.09,71.1,27.14,1.75,52.34,37.2,10.46,3.63,0.05,96.32
HARYANA,0,0,100,45.41,43.55,11.04,27.78,60.61,11.6,3.36,0.04,96.6
HIMACHAL PRADESH,1.71,46.72,51.57,36.98,53.53,9.48,44.9,46.92,8.17,0.16,0.75,99.08
JAMMU & KASHMIR,18.42,61.52,20.07,43.44,51.17,5.39,25.61,67.45,6.95,0.55,3.48,95.97
JHARKHAND,0.35,59.17,40.48,18.53,65.58,15.89,6.22,81.89,11.89,0.17,40.34,59.49
KARNATAKA,5.34,35.86,58.8,60.25,33.14,6.61,44.41,44.74,10.85,3.59,5.54,90.87
KERALA,0,0,0,53.21,21.36,25.43,29.1,44.43,26.47,0,15.73,84.27
MADHYA PRADESH,0.41,28.77,70.83,24.14,69.49,6.36,27.59,68.44,3.97,0.86,1.16,97.97
MAHARASHTRA,1.94,8.22,89.83,21.01,53.74,25.25,69.46,28.13,2.41,1.92,2.02,96.06
MEGHALAYA,0,54.57,45.43,3.23,16.74,80.04,1.26,65.39,33.35,0,91.69,8.31
MIZORAM,0,27,73,0.5,98,1.5,48.48,50.51,1.01,0,73.1,26.9
NAGALAND,25.11,38.76,36.13,30.43,33.57,36,2.68,50.69,46.63,0,52.59,47.41
ODISHA,1.62,28.13,70.25,30.3,46.09,23.61,17.04,65.04,17.92,0.56,26.37,73.07
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,0,21.59,78.41,29.67,31.79,38.54,17.15,32.1,50.75,10.67,0.28,89.04
RAJASTHAN,0,0,100,16.67,8.33,75,8.33,8.33,83.33,0,0,100
SIKKIM,0.24,55.29,44.47,73.51,24.02,2.46,27.21,60.65,12.14,0.02,28.34,71.64
TAMIL NADU,0.03,1.43,98.53,32.64,44.02,23.34,49.55,40.34,10.11,4.46,3.21,92.33
TELANGANA,0.71,21.56,77.74,70.69,20.33,8.98,54.53,31.48,13.99,1.3,1.42,97.28
TRIPURA,1,54.67,44.33,10.76,47.33,41.92,0.47,93.42,6.11,0,80.69,19.31
UTTAR PRADESH,0.07,5.69,94.24,18.91,61.76,19.33,8.79,80.54,10.67,0.58,0.1,99.31
UTTARAKHAND,4.66,25.23,70.11,49.52,39.89,10.58,23.19,55.71,21.1,0.03,2.3,97.67
WEST BENGAL,5.27,62.31,32.41,65.38,24.12,10.5,33.79,55.61,10.6,0.09,34.44,65.47
